Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Moved,"CL3_(0, 5)_beta",CL3,"(0, 5)",beta,LightGBM,0.00022938898671217325
Control,Moved,"CL3_(0, 5)_delta",CL3,"(0, 5)",delta,LightGBM,0.0021627356800659977
Control,Moved,"CL3_(0, 5)_lower gamma",CL3,"(0, 5)",lower gamma,LightGBM,0.007256416785156641
Control,Moved,"CL3_(0, 5)_theta",CL3,"(0, 5)",theta,LightGBM,0.0007053256053446427
Control,Moved,"CL3_(5, 10)_alpha",CL3,"(5, 10)",alpha,LightGBM,-0.000992353626215756
Control,Moved,"CL3_(5, 10)_beta",CL3,"(5, 10)",beta,LightGBM,0.006451881658286074
Control,Moved,"CL3_(5, 10)_delta",CL3,"(5, 10)",delta,LightGBM,0.0004490704332485314
Control,Moved,"CL3_(5, 10)_lower gamma",CL3,"(5, 10)",lower gamma,LightGBM,0.0016433662875585025
Control,Moved,"CL3_(5, 10)_theta",CL3,"(5, 10)",theta,LightGBM,0.0004376537468062069
Control,Moved,"CL4_(-4, 0)_alpha",CL4,"(-4, 0)",alpha,LightGBM,-0.0020478087052106853
Control,Moved,"CL4_(-4, 0)_beta",CL4,"(-4, 0)",beta,LightGBM,-0.009869458394834746
Control,Moved,"CL4_(-4, 0)_delta",CL4,"(-4, 0)",delta,LightGBM,-4.3920231100044774e-05
Control,Moved,"CL4_(-4, 0)_lower gamma",CL4,"(-4, 0)",lower gamma,LightGBM,-0.00021176856378318345
Control,Moved,"CL4_(-4, 0)_theta",CL4,"(-4, 0)",theta,LightGBM,0.004265183029402433
Control,Moved,"CL4_(0, 5)_alpha",CL4,"(0, 5)",alpha,LightGBM,0.0032915233232060728
Control,Moved,"CL4_(0, 5)_beta",CL4,"(0, 5)",beta,LightGBM,0.0055141738187632575
Control,Moved,"CL4_(0, 5)_delta",CL4,"(0, 5)",delta,LightGBM,0.00025562722243431605
Control,Moved,"CL4_(0, 5)_lower gamma",CL4,"(0, 5)",lower gamma,LightGBM,-0.0020312350214177675
